Dates_0;EURCNY_Curncy;Dates_1;EURCNY12M_Curncy;Dates_2;EURCNY2Y_Curncy;Dates_3;EURCNY5Y_Curncy
1/4/00;8,5333;8/7/07;10,009801;6/11/07;9,791334;6/25/04;10,047461
1/5/00;8,5646;8/8/07;10,069013;6/28/07;9,861206;6/29/04;10,028365
1/6/00;8,5165;8/9/07;9,953247;7/3/07;9,936245;6/30/04;10,071671
1/7/00;8,527;8/10/07;9,898539;7/4/07;9,794487;7/1/04;10,067175
1/10/00;8,4955;8/13/07;9,855808;7/19/07;10,036575;7/2/04;10,200074
1/11/00;8,5411;8/15/07;9,75521;7/23/07;9,88035;7/6/04;10,186285
1/12/00;8,5222;8/16/07;9,776886;7/25/07;9,970123;7/7/04;10,243383
1/13/00;8,4984;8/17/07;9,843486;8/8/07;9,8692;7/8/04;10,257183
1/14/00;8,3981;8/20/07;9,849094;8/9/07;9,7724;7/13/04;10,192881
1/17/00;8,3637;8/21/07;9,887631;8/10/07;9,7754;7/15/04;10,222184
1/18/00;8,3803;8/22/07;9,956215;8/13/07;9,33887;7/20/04;10,245481
1/19/00;8,3807;8/23/07;9,966715;8/15/07;9,237473;7/22/04;10,154084
1/20/00;8,421;8/24/07;9,8693;8/16/07;9,209773;7/26/04;10,053184
1/21/00;8,3548;8/28/07;9,981721;8/17/07;9,276373;7/27/04;9,990884
1/24/00;8,2955;8/29/07;9,989609;8/21/07;9,534563;7/29/04;9,969884
1/25/00;8,3125;8/30/07;9,97146;8/22/07;9,58323;8/3/04;9,979584
1/26/00;8,284;8/31/07;9,96436;8/29/07;9,61713;8/4/04;9,968984
1/27/00;8,1914;9/3/07;9,965287;8/30/07;9,60013;8/6/04;10,162479
1/28/00;8,0778;9/5/07;10,007686;8/31/07;9,59303;8/9/04;10,147484
1/31/00;8,0418;9/6/07;9,995796;9/3/07;9,446116;8/10/04;10,174684
2/1/00;8,0357;9/7/07;10,095658;9/6/07;9,601591;8/11/04;10,113884
2/2/00;8,0803;9/10/07;10,086304;9/7/07;9,675198;8/12/04;10,129982
2/3/00;8,1904;9/11/07;10,113904;9/10/07;9,666898;8/17/04;10,212782
2/4/00;8,0942;9/12/07;10,178036;9/11/07;9,694498;8/18/04;10,198584
