Dates_0;EURGBP_Curncy;Dates_1;EURGBP12M_Curncy;Dates_2;EURGBP2Y_Curncy;Dates_3;EURGBP3Y_Curncy;Dates_4;EURGBP4Y_Curncy;Dates_5;EURGBP5Y_Curncy
1/4/00;0,6288;1/4/00;0,64606;1/4/00;0,6615;1/4/00;0,6728;1/4/00;0,68025;1/4/00;0,68485
1/5/00;0,62965;1/5/00;0,646975;1/5/00;0,66305;1/5/00;0,67425;1/5/00;0,68195;1/5/00;0,68675
1/6/00;0,62525;1/6/00;0,64258;1/6/00;0,6586;1/6/00;0,66945;1/6/00;0,6765;1/6/00;0,6807
1/7/00;0,6288;1/7/00;0,646005;1/7/00;0,66165;1/7/00;0,67385;1/7/00;0,682;1/7/00;0,68665
1/10/00;0,6263;1/10/00;0,64365;1/10/00;0,65935;1/10/00;0,6713;1/10/00;0,6789;1/10/00;0,6833
1/11/00;0,62655;1/11/00;0,64417;1/11/00;0,6589;1/11/00;0,67005;1/11/00;0,6772;1/11/00;0,6809
1/12/00;0,62535;1/12/00;0,64256;1/12/00;0,65725;1/12/00;0,66835;1/12/00;0,6754;1/12/00;0,6791
1/13/00;0,62325;1/13/00;0,640125;1/13/00;0,655;1/13/00;0,66605;1/13/00;0,6731;1/13/00;0,6768
1/14/00;0,62055;1/14/00;0,63762;1/14/00;0,65275;1/14/00;0,6634;1/14/00;0,6719;1/14/00;0,6761
1/17/00;0,6191;1/17/00;0,636245;1/17/00;0,65155;1/17/00;0,66275;1/17/00;0,66995;1/17/00;0,67415
1/18/00;0,61785;1/18/00;0,63505;1/18/00;0,6503;1/18/00;0,66155;1/18/00;0,66875;1/18/00;0,67265
1/19/00;0,61535;1/19/00;0,6324;1/19/00;0,64775;1/19/00;0,65885;1/19/00;0,6662;1/19/00;0,6705
1/20/00;0,61385;1/20/00;0,630905;1/20/00;0,64625;1/20/00;0,65755;1/20/00;0,6654;1/20/00;0,66995
1/21/00;0,61175;1/21/00;0,62872;1/21/00;0,6436;1/21/00;0,65475;1/21/00;0,66305;1/21/00;0,6672
1/24/00;0,60725;1/24/00;0,62377;1/24/00;0,63855;1/25/00;0,65095;1/25/00;0,65875;1/25/00;0,66275
1/25/00;0,6087;1/25/00;0,62524;1/25/00;0,6402;1/26/00;0,652;1/26/00;0,6594;1/26/00;0,66375
1/26/00;0,61145;1/26/00;0,6276;1/26/00;0,64245;1/27/00;0,6443;1/27/00;0,6515;1/27/00;0,65585
1/27/00;0,6052;1/27/00;0,62075;1/27/00;0,6349;1/28/00;0,64115;1/28/00;0,64865;1/28/00;0,6533
1/28/00;0,60085;1/28/00;0,616455;1/28/00;0,63085;1/31/00;0,64255;1/31/00;0,65045;1/31/00;0,65495
1/31/00;0,60175;1/31/00;0,617415;1/31/00;0,6322;2/1/00;0,64335;2/1/00;0,65085;2/1/00;0,6554
2/1/00;0,6028;2/1/00;0,61825;2/1/00;0,6323;2/2/00;0,64695;2/2/00;0,6547;2/2/00;0,6591
2/2/00;0,6071;2/2/00;0,62267;2/2/00;0,63625;2/3/00;0,6588;2/3/00;0,66645;2/3/00;0,67095
2/3/00;0,61935;2/3/00;0,63446;2/3/00;0,6484;2/4/00;0,6539;2/4/00;0,6614;2/4/00;0,6653
2/4/00;0,61455;2/4/00;0,63035;2/4/00;0,6439;2/7/00;0,6529;2/7/00;0,66075;2/7/00;0,665
2/7/00;0,6141;2/7/00;0,629525;2/7/00;0,64305;2/8/00;0,6517;2/8/00;0,65905;2/8/00;0,66335
2/8/00;0,61345;2/8/00;0,6289;2/8/00;0,64205;2/9/00;0,65345;2/9/00;0,6604;2/9/00;0,6645
2/9/00;0,6151;2/9/00;0,630655;2/9/00;0,64405;2/10/00;0,65235;2/10/00;0,6594;2/10/00;0,66295
2/10/00;0,6146;2/10/00;0,63007;2/10/00;0,6425;2/11/00;0,65635;2/11/00;0,66275;2/11/00;0,6666
2/11/00;0,61965;2/11/00;0,63468;2/11/00;0,6471;8/12/03;0,73355;8/12/03;0,73795;8/12/03;0,74015
2/14/00;0,61645;2/14/00;0,63164;2/14/00;0,6434;8/13/03;0,73175;8/13/03;0,7357;8/13/03;0,73805
2/15/00;0,61645;2/15/00;0,63176;2/15/00;0,64375;8/14/03;0,7301;8/14/03;0,73405;8/14/03;0,736
2/16/00;0,61425;2/16/00;0,629865;2/16/00;0,64235;8/15/03;0,7329;8/15/03;0,73705;8/15/03;0,7395
2/17/00;0,6144;2/17/00;0,629805;2/17/00;0,6426;8/19/03;0,72775;8/19/03;0,7319;8/19/03;0,73405
2/18/00;0,61585;2/18/00;0,630595;2/18/00;0,6425;8/20/03;0,72545;8/20/03;0,7299;8/20/03;0,73255
2/21/00;0,6169;2/21/00;0,631385;2/21/00;0,6438;8/21/03;0,72095;8/21/03;0,7251;8/21/03;0,7275
2/22/00;0,6169;2/22/00;0,631385;2/22/00;0,6437;8/22/03;0,7193;8/22/03;0,7235;8/22/03;0,72605
2/23/00;0,6248;2/23/00;0,63977;2/23/00;0,65225;9/2/03;0,7197;9/2/03;0,7241;9/2/03;0,72685
2/24/00;0,6219;2/24/00;0,636855;2/24/00;0,6492;9/3/03;0,7187;9/3/03;0,72305;9/3/03;0,726
2/25/00;0,61175;2/25/00;0,626845;2/25/00;0,63915;9/4/03;0,71925;9/4/03;0,72365;9/4/03;0,72665
2/28/00;0,6082;2/28/00;0,622865;2/28/00;0,635;9/5/03;0,7272;9/5/03;0,73165;9/5/03;0,7347
2/29/00;0,61205;2/29/00;0,626735;2/29/00;0,6388;9/8/03;0,72915;9/8/03;0,73335;9/8/03;0,7362
3/1/00;0,61285;3/1/00;0,627085;3/1/00;0,63885;9/9/03;0,73505;9/9/03;0,7395;9/9/03;0,74205
3/2/00;0,6115;3/2/00;0,625875;3/2/00;0,63765;9/10/03;0,73325;9/10/03;0,738;9/10/03;0,74105
3/3/00;0,6087;3/3/00;0,622795;3/3/00;0,63505;9/11/03;0,73255;9/11/03;0,73715;9/11/03;0,73975
3/6/00;0,6094;3/6/00;0,623225;3/6/00;0,63475;9/12/03;0,73505;9/12/03;0,7396;9/12/03;0,74245
3/7/00;0,6059;3/7/00;0,6197;3/7/00;0,63135;9/19/03;0,7289;9/19/03;0,73405;9/19/03;0,7371
3/8/00;0,60465;3/8/00;0,618095;3/8/00;0,62925;9/22/03;0,72995;9/22/03;0,7356;9/22/03;0,73895
3/9/00;0,61175;3/9/00;0,62542;3/9/00;0,63715;9/23/03;0,72765;9/23/03;0,7333;9/23/03;0,73665
3/10/00;0,6111;3/10/00;0,624545;3/10/00;0,6362;9/24/03;0,7179;9/24/03;0,72425;9/24/03;0,7283
3/13/00;0,61065;3/13/00;0,624185;3/13/00;0,63635;9/25/03;0,71455;9/25/03;0,72085;9/25/03;0,72485
3/14/00;0,61265;3/14/00;0,62617;3/14/00;0,63825;9/26/03;0,72658;9/26/03;0,73243;9/26/03;0,73598
3/15/00;0,61645;3/15/00;0,63018;3/15/00;0,64225;9/29/03;0,73005;9/29/03;0,73595;9/29/03;0,73955
3/16/00;0,6151;3/16/00;0,629055;3/16/00;0,64165;9/30/03;0,73765;9/30/03;0,74415;9/30/03;0,74835
3/17/00;0,61795;3/17/00;0,63178;3/17/00;0,64395;10/3/03;0,73005;10/3/03;0,7357;10/3/03;0,73925
3/20/00;0,61905;3/20/00;0,632935;3/20/00;0,6451;10/27/03;0,73285;10/27/03;0,7402;10/27/03;0,74515
3/21/00;0,614;3/21/00;0,627865;3/21/00;0,6398;11/7/03;0,71405;11/7/03;0,7219;11/7/03;0,72735
3/22/00;0,6089;3/22/00;0,62257;3/22/00;0,6351;11/11/03;0,72625;11/11/03;0,73255;11/11/03;0,73675
3/23/00;0,6108;3/23/00;0,624465;3/23/00;0,63645;11/12/03;0,72;11/12/03;0,7269;11/12/03;0,7318
3/24/00;0,613;3/24/00;0,62644;3/24/00;0,63975;11/14/03;0,73435;11/14/03;0,74095;11/14/03;0,7455
3/27/00;0,60855;3/27/00;0,62251;3/27/00;0,63585;11/28/03;0,73215;11/28/03;0,73845;11/28/03;0,74275
3/28/00;0,60555;3/28/00;0,619525;3/28/00;0,6323;12/2/03;0,7341;12/2/03;0,74045;12/2/03;0,7447
3/29/00;0,59975;3/29/00;0,613315;3/29/00;0,6266;12/3/03;0,73585;12/3/03;0,74215;12/3/03;0,7465
3/30/00;0,6025;3/30/00;0,616235;3/30/00;0,6291;12/4/03;0,7386;12/4/03;0,7448;12/4/03;0,7488
3/31/00;0,6013;3/31/00;0,615095;3/31/00;0,6279;12/5/03;0,73855;12/5/03;0,7445;12/5/03;0,74845
4/3/00;0,5968;4/3/00;0,61056;4/3/00;0,6238;12/12/03;0,73855;12/12/03;0,74425;12/12/03;0,74805
4/4/00;0,6038;4/4/00;0,61763;4/4/00;0,63085;12/15/03;0,74025;12/15/03;0,74575;12/15/03;0,7496
4/5/00;0,6077;4/6/00;0,62083;4/6/00;0,63475;12/22/03;0,7383;12/22/03;0,74365;12/22/03;0,74685
4/6/00;0,60705;4/7/00;0,619915;4/7/00;0,63335;1/13/04;0,72785;1/13/04;0,7341;1/13/04;0,73785
4/7/00;0,6063;4/10/00;0,620175;4/10/00;0,6333;1/15/04;0,72915;1/15/04;0,7356;1/15/04;0,73935
4/10/00;0,60675;4/11/00;0,616295;4/11/00;0,62915;2/6/04;0,7284;2/6/04;0,73505;2/6/04;0,73935
4/11/00;0,6031;4/12/00;0,614385;4/12/00;0,62705;2/12/04;0,71775;2/12/04;0,72465;2/12/04;0,72885
4/12/00;0,6012;4/13/00;0,61327;4/13/00;0,62575;2/24/04;0,7121;2/24/04;0,7196;2/24/04;0,7242
4/13/00;0,60025;4/14/00;0,614815;4/14/00;0,6271;2/26/04;0,70895;2/26/04;0,7167;2/26/04;0,7213
4/14/00;0,6017;4/17/00;0,615015;4/17/00;0,62745;2/27/04;0,7114;2/27/04;0,7193;2/27/04;0,72405
4/17/00;0,60225;4/18/00;0,614435;4/18/00;0,62665;3/1/04;0,7093;3/1/04;0,71735;3/1/04;0,7227
4/18/00;0,6015;4/19/00;0,60663;4/19/00;0,61885;3/2/04;0,70775;3/2/04;0,7156;3/2/04;0,7207
4/19/00;0,59385;4/20/00;0,605625;4/20/00;0,61785;3/3/04;0,7075;3/3/04;0,71515;3/3/04;0,7201
4/20/00;0,59305;4/21/00;0,607025;4/21/00;0,61921;3/5/04;0,7161;3/5/04;0,7245;3/5/04;0,73015
4/21/00;0,59441;4/24/00;0,608025;4/24/00;0,6202;3/8/04;0,71505;3/8/04;0,7235;3/8/04;0,7291
4/24/00;0,5954;4/25/00;0,5971;4/25/00;0,60869;3/9/04;0,7201;3/9/04;0,72875;3/9/04;0,7345
4/25/00;0,58489;4/26/00;0,59653;4/26/00;0,6084;3/12/04;0,7224;3/12/04;0,73125;3/12/04;0,7371
4/26/00;0,58445;4/27/00;0,58743;4/27/00;0,5992;3/18/04;0,72145;3/18/04;0,73055;3/18/04;0,7367
4/27/00;0,57595;4/28/00;0,59649;4/28/00;0,6071;3/22/04;0,71585;3/22/04;0,7248;3/22/04;0,73095
4/28/00;0,58525;5/1/00;0,599715;5/1/00;0,6092;3/25/04;0,71885;3/25/04;0,728;3/25/04;0,73405
5/1/00;0,58855;5/2/00;0,59074;5/2/00;0,60095;3/30/04;0,7136;3/30/04;0,72265;3/30/04;0,7288
5/2/00;0,57985;5/3/00;0,58436;5/3/00;0,59385;4/20/04;0,70875;4/20/04;0,7173;4/20/04;0,72315
5/3/00;0,57385;5/4/00;0,58857;5/4/00;0,59755;4/22/04;0,71575;4/22/04;0,7245;4/22/04;0,7307
5/4/00;0,5783;5/5/00;0,59684;5/5/00;0,6066;4/23/04;0,7109;4/23/04;0,71955;4/23/04;0,7254
5/5/00;0,58645;5/8/00;0,595775;5/8/00;0,60585;4/27/04;0,70945;4/27/04;0,71795;4/27/04;0,7236
5/8/00;0,5853;5/9/00;0,60224;5/9/00;0,61215;4/28/04;0,71105;4/28/04;0,7196;4/28/04;0,72555
5/9/00;0,59165;5/10/00;0,61242;5/10/00;0,62215;4/30/04;0,7188;4/30/04;0,7275;4/30/04;0,73375
5/10/00;0,60155;5/11/00;0,611175;5/11/00;0,6218;5/7/04;0,7104;5/7/04;0,71915;5/7/04;0,72535
5/11/00;0,60025;5/12/00;0,61165;5/12/00;0,62145;5/10/04;0,7116;5/10/04;0,7201;5/10/04;0,7264
5/12/00;0,601;5/15/00;0,616905;5/15/00;0,62735;5/20/04;0,7157;5/20/04;0,7244;5/20/04;0,7306
5/15/00;0,6057;5/16/00;0,61398;5/16/00;0,62405;5/24/04;0,71655;5/24/04;0,7254;5/24/04;0,7316
