Dates_0;EURUSD_Curncy;Dates_1;EUR12M_Curncy;Dates_2;EUR2Y_Curncy;Dates_3;EUR3Y_Curncy;Dates_4;EUR4Y_Curncy;Dates_5;EUR5Y_Curncy
1/4/00;1,0306;1/4/00;1,057378;1/4/00;1,0792;1/4/00;1,0979;1/4/00;1,11495;1/4/00;1,13185
1/5/00;1,0344;1/5/00;1,0611;1/5/00;1,08345;1/5/00;1,10265;1/5/00;1,11965;1/5/00;1,13765
1/6/00;1,0286;1/6/00;1,05535;1/6/00;1,07775;1/6/00;1,097;1/6/00;1,1138;1/6/00;1,131
1/7/00;1,0295;1/7/00;1,056263;1/7/00;1,0795;1/7/00;1,10025;1/7/00;1,11875;1/7/00;1,1369
1/10/00;1,0261;1/10/00;1,05325;1/10/00;1,07705;1/10/00;1,0977;1/10/00;1,11625;1/10/00;1,13485
1/11/00;1,0316;1/11/00;1,059;1/11/00;1,0825;1/11/00;1,1026;1/11/00;1,1211;1/11/00;1,1396
1/12/00;1,0293;1/12/00;1,05675;1/12/00;1,0802;1/12/00;1,1001;1/12/00;1,1184;1/12/00;1,1367
1/13/00;1,0264;1/13/00;1,05375;1/13/00;1,07765;1/13/00;1,09805;1/13/00;1,1163;1/13/00;1,1347
1/14/00;1,0122;1/14/00;1,0394;1/14/00;1,0636;1/14/00;1,08155;1/14/00;1,10075;1/14/00;1,11855
1/17/00;1,0102;1/17/00;1,03735;1/17/00;1,0608;1/17/00;1,07995;1/17/00;1,0978;1/17/00;1,1157
1/18/00;1,0122;1/18/00;1,039215;1/18/00;1,0628;1/18/00;1,082;1/18/00;1,0993;1/18/00;1,11695
1/19/00;1,0122;1/19/00;1,0392;1/19/00;1,063;1/19/00;1,0817;1/19/00;1,09875;1/19/00;1,1164
1/20/00;1,0171;1/20/00;1,044265;1/20/00;1,06805;1/20/00;1,08605;1/20/00;1,1032;1/20/00;1,12015
1/21/00;1,0098;1/21/00;1,0367;1/21/00;1,0598;1/21/00;1,0786;1/21/00;1,09665;1/21/00;1,11445
1/24/00;1,002;1/24/00;1,028215;1/24/00;1,05165;1/24/00;1,06945;1/24/00;1,0829;1/24/00;1,1002
1/25/00;1,0041;1/25/00;1,03065;1/25/00;1,0535;1/25/00;1,07185;1/25/00;1,089;1/25/00;1,10555
1/26/00;1,0007;1/26/00;1,026645;1/26/00;1,04925;1/26/00;1,06745;1/26/00;1,0844;1/26/00;1,10085
1/27/00;0,9895;1/27/00;1,014535;1/27/00;1,03725;1/27/00;1,0547;1/27/00;1,07115;1/27/00;1,08735
1/28/00;0,9747;1/28/00;1,000245;1/28/00;1,02395;1/28/00;1,04385;1/28/00;1,06155;1/28/00;1,07865
1/31/00;0,9715;1/31/00;0,99731;1/31/00;1,0219;1/31/00;1,04155;1/31/00;1,0599;1/31/00;1,07685
2/1/00;0,9708;2/1/00;0,996825;2/1/00;1,02115;2/1/00;1,042;2/1/00;1,06085;2/1/00;1,07835
2/2/00;0,9762;2/2/00;1,00249;2/2/00;1,0275;2/2/00;1,04895;2/2/00;1,06845;2/2/00;1,0862
2/3/00;0,9894;2/3/00;1,016025;2/3/00;1,0417;2/3/00;1,06325;2/3/00;1,08155;2/3/00;1,0993
2/4/00;0,9832;2/4/00;1,009415;2/4/00;1,03405;2/4/00;1,0548;2/4/00;1,0734;2/4/00;1,08995
2/7/00;0,9794;2/7/00;1,005615;2/7/00;1,0302;2/7/00;1,0507;2/7/00;1,0697;2/7/00;1,0865
2/8/00;0,9879;2/8/00;1,014435;2/8/00;1,03905;2/8/00;1,0614;2/8/00;1,0799;2/8/00;1,0967
2/9/00;0,9922;2/9/00;1,018735;2/9/00;1,04385;2/9/00;1,065;2/9/00;1,08365;2/9/00;1,10105
2/10/00;0,9875;2/10/00;1,01359;2/10/00;1,0378;2/10/00;1,05715;2/10/00;1,07535;2/10/00;1,09215
2/11/00;0,9875;2/11/00;1,013525;2/11/00;1,0373;2/11/00;1,05765;2/11/00;1,0757;2/11/00;1,0936
2/14/00;0,9799;2/14/00;1,005605;2/14/00;1,0303;2/14/00;1,04805;2/14/00;1,06345;2/14/00;1,07935
2/15/00;0,984;2/15/00;1,009865;2/15/00;1,0338;2/15/00;1,0525;2/15/00;1,069;2/15/00;1,084
2/16/00;0,9862;2/16/00;1,012095;2/16/00;1,0358;2/18/00;1,05325;2/18/00;1,0683;2/18/00;1,08455
2/17/00;0,9866;2/17/00;1,012495;2/17/00;1,0373;2/21/00;1,056;2/21/00;1,07275;2/21/00;1,08885
2/18/00;0,9839;2/18/00;1,00935;2/18/00;1,0334;2/23/00;1,0735;2/23/00;1,0926;2/23/00;1,109
2/21/00;0,9867;2/21/00;1,01206;2/21/00;1,0363;2/28/00;1,0339;2/28/00;1,04895;2/28/00;1,06465
2/22/00;1,0071;2/22/00;1,032975;2/23/00;1,052;2/29/00;1,03295;2/29/00;1,05055;2/29/00;1,0665
2/23/00;1,0021;2/23/00;1,02773;2/24/00;1,04465;3/2/00;1,03265;3/2/00;1,04855;3/2/00;1,0639
2/24/00;0,9946;2/24/00;1,020045;2/25/00;1,02285;3/10/00;1,02995;3/10/00;1,04585;3/10/00;1,0612
2/25/00;0,9749;2/25/00;0,99936;2/28/00;1,0167;3/13/00;1,0292;3/13/00;1,0477;3/13/00;1,0647
2/28/00;0,9699;2/28/00;0,994265;2/29/00;1,01375;3/22/00;1,03125;3/22/00;1,04975;3/22/00;1,06605
2/29/00;0,9668;2/29/00;0,99117;3/1/00;1,02125;4/3/00;1,021;4/3/00;1,0385;4/3/00;1,053
3/1/00;0,9743;3/1/00;0,99889;3/2/00;1,0127;4/4/00;1,0332;4/4/00;1,0507;4/4/00;1,0647
3/2/00;0,9664;3/2/00;0,990425;3/3/00;1,0042;4/6/00;1,0206;4/6/00;1,0431;4/6/00;1,0576
3/3/00;0,9586;3/3/00;0,98222;3/6/00;1,0045;4/7/00;1,0193;4/7/00;1,0373;4/7/00;1,0523
3/6/00;0,9587;3/6/00;0,982385;3/7/00;1,0004;4/12/00;1,0188;4/12/00;1,0338;4/12/00;1,0473
3/7/00;0,9542;3/7/00;0,97755;3/8/00;1,00495;4/13/00;1,0164;4/13/00;1,0324;4/13/00;1,0479
3/8/00;0,9596;3/8/00;0,9829;3/9/00;1,01355;4/14/00;1,0257;4/14/00;1,0417;4/14/00;1,0542
3/9/00;0,9672;3/9/00;0,99077;3/10/00;1,00995;4/17/00;1,0165;4/17/00;1,031;4/17/00;1,046
3/10/00;0,9637;3/10/00;0,98713;3/13/00;1,00985;4/18/00;1,0135;4/18/00;1,0295;4/18/00;1,045
3/13/00;0,9632;3/13/00;0,98646;3/14/00;1,01135;4/19/00;1,001;4/19/00;1,0165;4/19/00;1,032
3/14/00;0,9647;3/14/00;0,98786;3/15/00;1,01655;4/20/00;0,99995;4/20/00;1,0158;4/20/00;1,02935
3/15/00;0,9704;3/15/00;0,99381;3/16/00;1,01565;4/21/00;0,998;4/21/00;1,012;4/21/00;1,025
3/16/00;0,9682;3/16/00;0,99226;3/17/00;1,01985;4/24/00;0,9998;4/24/00;1,0138;4/24/00;1,0268
3/17/00;0,9721;3/17/00;0,99622;3/20/00;1,02;4/25/00;0,9847;4/25/00;0,9992;4/25/00;1,0132
3/20/00;0,9715;3/20/00;0,99592;3/21/00;1,0138;4/26/00;0,984;4/26/00;0,999;4/26/00;1,013
3/21/00;0,9654;3/21/00;0,98986;3/22/00;1,00965;4/27/00;0,9686;4/27/00;0,9856;4/27/00;1,0001
3/22/00;0,9621;3/22/00;0,986175;3/23/00;1,01735;4/28/00;0,9744;4/28/00;0,9919;4/28/00;1,0064
3/23/00;0,9701;3/23/00;0,99416;3/24/00;1,0272;5/1/00;0,9781;5/1/00;0,9951;5/1/00;1,0096
3/24/00;0,9779;3/24/00;1,002885;3/27/00;1,014;5/2/00;0,96885;5/2/00;0,98605;5/2/00;1,0012
3/27/00;0,9645;3/27/00;0,989475;3/28/00;1,0107;5/3/00;0,95575;5/3/00;0,97195;5/3/00;0,9871
3/28/00;0,9614;3/28/00;0,98633;3/29/00;1,0015;5/5/00;0,9602;5/5/00;0,9777;5/5/00;0,99485
3/29/00;0,9524;3/29/00;0,97691;3/30/00;1,0084;5/8/00;0,9598;5/8/00;0,9773;5/8/00;0,9958
